roi,geometry,landsat_total,landsat_success,landsat_failed,modis_total,modis_success,modis_failed,imagery_downloaded
projects/rangelands-explo-1571664594580/assets/Ranches/HLR/D12,"{'type': 'Polygon', 'coordinates': [[[-108.3849329911926, 39.4311116113547], [-108.34134193970368, 39.42274780770512], [-108.33051411383435, 39.4564130399744], [-108.37410520696896, 39.46477273372235], [-108.3849329911926, 39.4311116113547]]]}",1128,1128,0,2147,2147,0,2023-09-07 22:24:40.522663
projects/rangelands-explo-1571664594580/assets/Ranches/HLR/E12,"{'type': 'Polygon', 'coordinates': [[[-108.39576085028936, 39.39743416967993], [-108.35216966417767, 39.38906635994974], [-108.34134193970368, 39.42274780770512], [-108.3849329911926, 39.4311116113547], [-108.39576085028936, 39.39743416967993]]]}",1103,1103,0,2172,2172,0,2023-09-08 16:44:24.147692
projects/rangelands-explo-1571664594580/assets/Ranches/HLR/F12,"{'type': 'Polygon', 'coordinates': [[[-108.4065886019752, 39.36374053891621], [-108.36299746712635, 39.35536869156493], [-108.35216966417767, 39.38906635994974], [-108.39576085028936, 39.39743416967993], [-108.4065886019752, 39.36374053891621]]]}",909,909,0,2179,2179,0,2023-09-09 05:21:13.038020
projects/rangelands-explo-1571664594580/assets/Ranches/HLR/D11,"{'type': 'Polygon', 'coordinates': [[[-108.42852413546329, 39.439474382119585], [-108.3849329911926, 39.4311116113547], [-108.37410520696896, 39.46477273372235], [-108.41769632169014, 39.47313147344261], [-108.42852413546329, 39.439474382119585]]]}",1092,1092,0,2137,2137,0,2023-09-09 19:01:54.419740
projects/rangelands-explo-1571664594580/assets/Ranches/HLR/E11,"{'type': 'Polygon', 'coordinates': [[[-108.4393519287601, 39.40580098834779], [-108.39576085028936, 39.39743416967993], [-108.3849329911926, 39.4311116113547], [-108.42852413546329, 39.439474382119585], [-108.4393519287601, 39.40580098834779]]]}",1056,1056,0,2127,2127,0,2023-09-10 03:49:51.467966
projects/rangelands-explo-1571664594580/assets/Ranches/HLR/F11,"{'type': 'Polygon', 'coordinates': [[[-108.45017970038622, 39.372111392783665], [-108.4065886019752, 39.36374053891621], [-108.39576085028936, 39.39743416967993], [-108.4393519287601, 39.40580098834779], [-108.45017970038622, 39.372111392783665]]]}",605,605,0,2074,2074,0,09:30.5
projects/rangelands-explo-1571664594580/assets/Ranches/HLR/D10,"{'type': 'Polygon', 'coordinates': [[[-108.4721152041271, 39.44783619483561], [-108.42852413546329, 39.439474382119585], [-108.41769632169014, 39.47313147344261], [-108.46128738013078, 39.48148924280511], [-108.4721152041271, 39.44783619483561]]]}",988,988,0,2086,2086,0,49:45.9
projects/rangelands-explo-1571664594580/assets/Ranches/HLR/E10,"{'type': 'Polygon', 'coordinates': [[[-108.48294300284606, 39.41416684652433], [-108.4393519287601, 39.40580098834779], [-108.42852413546329, 39.439474382119585], [-108.4721152041271, 39.44783619483561], [-108.48294300284606, 39.41416684652433]]]}",952,952,0,2077,2077,0,05:50.9
projects/rangelands-explo-1571664594580/assets/Ranches/HLR/F10,"{'type': 'Polygon', 'coordinates': [[[-108.49377086566562, 39.380481207191245], [-108.45017970038622, 39.372111392783665], [-108.4393519287601, 39.40580098834779], [-108.48294300284606, 39.41416684652433], [-108.49377086566562, 39.380481207191245]]]}",719,719,0,2049,2049,0,15:40.6
projects/rangelands-explo-1571664594580/assets/Ranches/HLR/D9,"{'type': 'Polygon', 'coordinates': [[[-108.51570630052204, 39.456196927141264], [-108.4721152041271, 39.44783619483561], [-108.46128738013078, 39.48148924280511], [-108.50487848561338, 39.48984591949906], [-108.51570630052204, 39.456196927141264]]]}",936,936,0,2056,2056,0,19:58.1
projects/rangelands-explo-1571664594580/assets/Ranches/HLR/E9,"{'type': 'Polygon', 'coordinates': [[[-108.52653408535475, 39.422531636566994], [-108.48294300284606, 39.41416684652433], [-108.4721152041271, 39.44783619483561], [-108.51570630052204, 39.456196927141264], [-108.52653408535475, 39.422531636566994]]]}",888,888,0,2039,2039,0,21:00.6
projects/rangelands-explo-1571664594580/assets/Ranches/HLR/F9,"{'type': 'Polygon', 'coordinates': [[[-108.53736192950142, 39.38885005704946], [-108.49377086566562, 39.380481207191245], [-108.48294300284606, 39.41416684652433], [-108.52653408535475, 39.422531636566994], [-108.53736192950142, 39.38885005704946]]]}",708,708,0,2039,2039,0,44:08.8
projects/rangelands-explo-1571664594580/assets/Ranches/HLR/E8,"{'type': 'Polygon', 'coordinates': [[[-108.57012518917843, 39.430895479956966], [-108.52653408535475, 39.422531636566994], [-108.51570630052204, 39.456196927141264], [-108.55929743752763, 39.46455670044893], [-108.57012518917843, 39.430895479956966]]]}",870,870,0,2024,2024,0,06:16.6
projects/rangelands-explo-1571664594580/assets/Ranches/HLR/F8,"{'type': 'Polygon', 'coordinates': [[[-108.58095299535883, 39.39721789621259], [-108.53736192950142, 39.38885005704946], [-108.52653408535475, 39.422531636566994], [-108.57012518917843, 39.430895479956966], [-108.58095299535883, 39.39721789621259]]]}",691,691,0,2025,2025,0,23:20.2
projects/rangelands-explo-1571664594580/assets/Ranches/HLR/F7,"{'type': 'Polygon', 'coordinates': [[[-108.62454416683128, 39.40558475468571], [-108.58095299535883, 39.39721789621259], [-108.57012518917843, 39.430895479956966], [-108.61371632729302, 39.439258268886654], [-108.62454416683128, 39.40558475468571]]]}",701,701,0,2029,2029,0,01:44.0
projects/rangelands-explo-1571664594580/assets/Ranches/HLR/E7,"{'type': 'Polygon', 'coordinates': [[[-108.61371632729302, 39.439258268886654], [-108.57012518917843, 39.430895479956966], [-108.55929743752763, 39.46455670044893], [-108.60288853750778, 39.472915421960096], [-108.61371632729302, 39.439258268886654]]]}",904,904,0,2034,2034,0,09:55.1
