,Unnamed: 0,roi,modis_smoothed,starfm
0,,A32,2023-07-14 16:56:18.626426,2023-07-14 17:20:39.899145
1,,AR1,2023-07-14 17:20:40.906285,2023-07-14 17:41:59.228743
2,,AR2,2023-07-14 17:42:00.235597,2023-07-14 18:08:06.912231
3,,ARbc,2023-07-14 18:08:07.922783,2023-07-14 18:32:14.318140
4,,Aud,2023-07-14 18:32:15.325446,2023-07-14 19:10:53.720939
5,,BMM,2023-07-14 19:10:54.727923,2023-07-14 19:24:25.239314
6,,BRG,2023-07-14 19:24:26.246126,2023-07-14 19:46:34.809405
7,,Bkg,2023-07-14 19:46:35.816314,2023-07-14 20:03:34.620760
8,,CZ1_xSJ,2023-07-14 20:03:35.627894,2023-07-14 20:39:16.272992
9,,Cop,2023-07-14 20:39:17.279628,2023-07-14 21:01:24.485624
10,,Ctn,2023-07-14 21:01:25.492280,2023-07-14 21:25:28.396587
11,,Dia,2023-07-14 21:25:29.403370,2023-07-14 21:57:35.518267
12,,Fpe,2023-07-14 21:57:36.525358,2023-07-14 22:18:00.880578
13,,Fwf,2023-07-14 22:18:01.887593,2023-07-14 22:38:22.634928
14,,Hn2_3,2023-07-14 22:38:23.641384,2023-07-14 22:52:22.847470
15,,IB2,2023-07-14 22:52:23.854310,2023-07-14 23:07:48.775179
16,,Jo1,2023-07-14 23:07:49.781818,2023-07-14 23:33:58.102573
17,,KFS,2023-07-14 23:33:59.109267,2023-07-14 23:55:09.082277
18,,KLS,2023-07-14 23:55:10.088839,2023-07-15 00:19:40.858286
19,,KM2_3,2023-07-15 00:19:41.865280,2023-07-15 00:33:49.117545
20,,KM4,2023-07-15 00:33:50.123955,2023-07-15 00:48:05.313997
21,,LS1_2,2023-07-15 00:48:06.320615,2023-07-15 01:16:10.271014
22,,Mpj,2023-07-15 01:16:11.277644,2023-07-15 01:40:10.515009
23,,RFW,2023-07-15 01:40:11.521666,2023-07-15 02:06:06.564411
24,,Rls,2023-07-15 02:06:07.571185,2023-07-15 02:27:19.130824
25,,Ro4,2023-07-15 02:27:20.137578,2023-07-15 02:45:42.405514
26,,Rwe_Rms,2023-07-15 02:45:43.412412,2023-07-15 03:01:33.625950
27,,Rwf,2023-07-15 03:01:34.632864,2023-07-15 03:19:20.168557
28,,Rws,2023-07-15 03:19:21.175316,2023-07-15 03:43:27.231208
29,,SCg,2023-07-15 03:43:28.237738,2023-07-15 04:14:25.150774
30,,SRM,2023-07-15 04:14:26.157586,2023-07-15 04:42:42.658713
31,,SdH,2023-07-15 04:42:43.665339,2023-07-15 05:09:38.549146
32,,Seg,2023-07-15 05:09:39.555974,2023-07-15 05:44:16.928054
33,,Ses,2023-07-15 05:44:17.935175,2023-07-15 06:20:01.109819
34,,Shd,2023-07-15 06:20:02.116703,2023-07-15 06:47:55.710906
35,,Snd,2023-07-15 06:47:56.717686,2023-07-15 07:00:26.851905
36,,Snf,2023-07-15 07:00:27.858886,2023-07-15 07:24:02.556544
37,,Ton,2023-07-15 07:24:03.563633,2023-07-15 07:57:22.701489
38,,Tx1,2023-07-15 07:57:23.708448,2023-07-15 08:17:18.710229
39,,Tx2,2023-07-15 08:17:19.717512,2023-07-15 08:37:11.350338
40,,Var,2023-07-15 08:37:12.357931,2023-07-15 09:10:26.209741
41,,Wdn,2023-07-15 09:10:27.216779,2023-07-15 09:29:22.921703
42,,Wjs,2023-07-15 09:29:23.928492,2023-07-15 09:55:27.930146
43,,Wkg,2023-07-15 09:55:28.936922,2023-07-15 10:21:58.685852
44,,xAE,2023-07-15 10:21:59.692527,2023-07-15 10:51:14.891104
45,,xCL,2023-07-15 10:51:15.898192,2023-07-15 11:18:24.855100
46,,xCP,2023-07-15 11:18:25.862471,2023-07-15 11:47:49.481990
47,,xDC,2023-07-15 11:47:50.488661,2023-07-15 12:01:56.716868
48,,xJR,2023-07-15 12:01:57.723817,2023-07-15 12:29:15.751720
49,,xKA,2023-07-15 12:29:16.759228,2023-07-15 12:52:16.998363
50,,xKZ,2023-07-15 12:52:18.005757,2023-07-15 13:15:47.907788
51,,xMB,2023-07-15 13:15:48.914597,2023-07-15 13:38:39.190273
52,,xNG,2023-07-15 13:38:40.197609,2023-07-15 13:59:27.172578
53,,xNQ,2023-07-15 13:59:28.179329,2023-07-15 14:23:33.268953
54,,xWD,2023-07-15 14:23:34.276108,2023-07-15 14:36:44.539001
55,,xYE,2023-07-15 14:36:45.545646,2023-07-15 14:48:28.178509
