,Unnamed: 0,roi,modis_smoothed,starfm
0,,A32,2023-07-18 22:29:23.219940,2023-07-18 22:49:58.949486
1,,AR1,2023-07-18 22:57:51.628019,2023-07-18 23:17:44.624469
2,,AR2,2023-07-18 23:26:24.057081,2023-07-18 23:49:35.298620
3,,ARbc,2023-07-18 23:57:52.850352,2023-07-19 00:19:02.412066
4,,Aud,2023-07-19 00:31:14.158665,2023-07-19 01:04:25.029892
5,,BMM,2023-07-19 01:11:17.083897,2023-07-19 01:23:21.052488
6,,BRG,2023-07-19 01:31:53.858845,2023-07-19 01:51:16.251314
7,,Bkg,2023-07-19 01:58:19.454566,2023-07-19 02:14:34.011667
8,,CZ1_xSJ,2023-07-19 02:26:55.285984,2023-07-19 03:00:36.205109
9,,Cop,2023-07-19 03:09:04.196619,2023-07-19 03:31:09.767471
10,,Ctn,2023-07-19 03:40:45.733624,2023-07-19 04:05:11.586302
11,,Dia,2023-07-19 04:16:09.431561,2023-07-19 04:48:53.952155
12,,Fpe,2023-07-19 04:57:02.321248,2023-07-19 05:16:28.082346
13,,Fwf,2023-07-19 05:24:15.626565,2023-07-19 05:43:46.524541
14,,Hn2_3,2023-07-19 05:50:35.021820,2023-07-19 06:04:53.825295
15,,IB2,2023-07-19 06:11:28.137963,2023-07-19 06:26:50.580073
16,,Jo1,2023-07-19 06:36:11.266881,2023-07-19 07:01:36.290804
17,,KFS,2023-07-19 07:09:34.713055,2023-07-19 07:29:39.218064
18,,KLS,2023-07-19 07:38:33.368967,2023-07-19 08:01:52.390121
19,,KM2_3,2023-07-19 08:08:38.811065,2023-07-19 08:22:49.320549
20,,KM4,2023-07-19 08:29:41.918368,2023-07-19 08:44:03.473260
21,,LS1_2,2023-07-19 08:54:52.887663,2023-07-19 09:22:22.371128
22,,Mpj,2023-07-19 09:31:26.923936,2023-07-19 09:55:01.875522
23,,RFW,2023-07-19 10:05:06.086658,2023-07-19 10:30:22.423071
24,,Rls,2023-07-19 10:39:30.045881,2023-07-19 11:00:01.246042
25,,Ro4,2023-07-19 11:07:56.353498,2023-07-19 11:25:55.948047
26,,Rwe_Rms,2023-07-19 11:33:36.249778,2023-07-19 11:49:40.041437
27,,Rwf,2023-07-19 11:57:48.099796,2023-07-19 12:16:09.402168
28,,Rws,2023-07-19 12:25:57.000115,2023-07-19 12:49:26.766978
29,,SCg,2023-07-19 13:00:28.855538,2023-07-19 13:30:23.297639
30,,SRM,2023-07-19 13:40:56.917015,2023-07-19 14:08:26.220470
31,,SdH,2023-07-19 14:18:49.475648,2023-07-19 14:45:31.287418
32,,Seg,2023-07-19 14:58:08.184866,2023-07-19 15:33:14.970021
33,,Ses,2023-07-19 15:45:32.797703,2023-07-19 16:26:32.387246
34,,Shd,2023-07-19 16:37:14.660411,2023-07-19 17:25:05.178373
35,,Snd,2023-07-19 17:33:14.941384,2023-07-19 17:51:09.221844
36,,Snf,2023-07-19 18:00:03.676649,2023-07-19 18:28:29.393130
37,,Ton,2023-07-19 18:40:26.320414,2023-07-19 19:12:22.864860
38,,Tx1,2023-07-19 19:20:38.037636,2023-07-19 19:39:54.185797
39,,Tx2,2023-07-19 19:48:06.243021,2023-07-19 20:07:21.400131
40,,Var,2023-07-19 20:19:40.356259,2023-07-19 20:52:15.852322
41,,Wdn,2023-07-19 21:01:04.673369,2023-07-19 21:19:58.765274
42,,Wjs,2023-07-19 21:29:30.968187,2023-07-19 21:55:53.526926
43,,Wkg,2023-07-19 22:05:52.776193,2023-07-19 22:36:43.415593
44,,xAE,2023-07-19 22:47:52.783064,2023-07-19 23:18:31.623100
45,,xCL,2023-07-19 23:28:27.986476,2023-07-19 23:54:34.464043
46,,xCP,2023-07-20 00:05:37.801624,2023-07-20 00:33:46.762328
47,,xDC,2023-07-20 00:41:00.963970,2023-07-20 00:55:11.141982
48,,xJR,2023-07-20 01:05:15.896988,2023-07-20 01:31:15.953828
49,,xKA,2023-07-20 01:39:43.749828,2023-07-20 02:01:26.735368
50,,xKZ,2023-07-20 02:10:27.218419,2023-07-20 02:32:37.649524
51,,xMB,2023-07-20 02:41:26.932370,2023-07-20 03:04:04.706700
52,,xNG,2023-07-20 03:13:21.243361,2023-07-20 03:36:19.680099
53,,xNQ,2023-07-20 03:46:16.515127,2023-07-20 04:14:57.905135
54,,xWD,2023-07-20 04:22:03.594039,2023-07-20 04:36:51.006463
55,,xYE,2023-07-20 04:43:28.438658,2023-07-20 04:54:48.082950
