Unnamed: 0,roi,modis_smoothed,starfm
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/AR1/AR1,2023-08-24 16:17:19.042172,2023-08-24 16:38:35.232899
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/A32/A32,2023-08-24 17:11:48.048558,2023-08-24 17:31:41.012513
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/ARbc/ARbc,2023-08-24 17:56:54.972423,2023-08-24 18:17:01.599661
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/CZ1_xSJ/CZ1_xSJ,2023-08-24 19:14:43.682629,2023-08-24 19:44:47.116285
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Ctn/Ctn,2023-08-25 15:38:58.787279,2023-08-25 15:59:03.599264
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Fpe/Fpe,2023-08-25 16:09:13.272873,2023-08-25 16:27:11.171684
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Hn2_3/Hn2_3,2023-08-25 16:38:01.434526,2023-08-25 16:58:03.191107
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/IB2/IB2,2023-08-25 17:06:00.755063,2023-08-25 17:20:12.174600
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/KFS/KFS,2023-08-25 17:29:30.699487,2023-08-25 17:48:41.054889
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/KLS/KLS,2023-08-25 20:40:28.489130,2023-08-25 21:03:36.938267
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/KM2_3/KM2_3,2023-08-28 15:29:28.949102,2023-08-28 15:41:55.595577
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Rwe_Rms/Rwe_Rms,2023-08-28 15:51:17.909053,2023-08-28 16:05:24.758375
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Shd/Shd,2023-08-28 16:17:10.845275,2023-08-28 16:41:02.804114
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Snd/Snd,2023-08-28 16:51:26.007606,2023-08-28 17:11:34.243450
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Snf/Snf,2023-08-28 17:22:00.612163,2023-08-28 17:42:58.520052
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Ton/Ton,2023-08-28 17:56:26.858599,2023-08-28 18:24:19.780877
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Tx1/Tx1,2023-08-28 18:33:42.498576,2023-08-28 18:51:11.335480
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Tx2/Tx2,2023-08-28 19:00:28.394354,2023-08-28 19:18:10.991871
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/Var/Var,2023-08-28 19:31:36.910969,2023-08-28 19:59:47.023575
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/xAE/xAE,2023-08-28 20:11:47.889452,2023-08-28 20:37:25.102561
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/xCL/xCL,2023-08-28 20:48:31.254703,2023-08-28 21:27:03.288335
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/xDC/xDC,2023-08-28 21:36:39.057543,2023-08-28 21:51:13.683701
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/xNG/xNG,2023-08-28 22:01:27.976421,2023-08-28 22:18:42.765399
,projects/rangelands-explo-1571664594580/assets/Ameriflux_RS/xWD/xWD,2023-08-28 22:28:23.077934,2023-08-28 22:43:41.244458
